#GeneID,Locus,Locus tag,Protein Name
3640415,,"CAALFM_CR00810WA","hypothetical protein CAALFM_CR00810WA"
3640413,,"CAALFM_CR00820CA","hypothetical protein CAALFM_CR00820CA"
3640412,,"CAALFM_CR00830WA","hypothetical protein CAALFM_CR00830WA"
3640411,,"CAALFM_CR00840CA","hypothetical protein CAALFM_CR00840CA"
3640410,"GSL2","CAALFM_CR00850CA","Gsl2p"
3640399,"TMA19","CAALFM_CR00860CA","Tma19p"
3640398,,"CAALFM_CR00870CA","palmitoyltransferase"
3640397,,"CAALFM_CR00880WA","hypothetical protein CAALFM_CR00880WA"
30515370,,"CAALFM_CR00890CA","hypothetical protein CAALFM_CR00890CA"
3640396,"TRM1","CAALFM_CR00900WA","tRNA (guanine26-N2)-dimethyltransferase"
30515371,,"CAALFM_CR00910WA","hypothetical protein CAALFM_CR00910WA"
3640395,"CCE1","CAALFM_CR00920WA","cruciform cutting endonuclease"
3640394,"ATO10","CAALFM_CR00930WA","Ato10p"
3640392,"ATO9","CAALFM_CR00970WA","Ato9p"
3640426,,"CAALFM_CR00980CA","phosphopantothenoylcysteine decarboxylase complex subunit"
3640425,,"CAALFM_CR00990WA","signal peptidase complex catalytic subunit"
3640422,"SLN1","CAALFM_CR01000CA","Sln1p"
3640421,"TEN1","CAALFM_CR01010WA","Ten1p"
3640420,,"CAALFM_CR01020CA","hypothetical protein CAALFM_CR01020CA"
3640419,"DAL81","CAALFM_CR01030WA","Dal81p"
3640418,"ARC19","CAALFM_CR01040CA","Arc19p"
3640384,,"CAALFM_CR01050CA","hypothetical protein CAALFM_CR01050CA"
3640383,"LAG1","CAALFM_CR01060WA","sphingosine N-acyltransferase"
3640382,,"CAALFM_CR01070WA","hypothetical protein CAALFM_CR01070WA"
3640381,,"CAALFM_CR01080WA","hypothetical protein CAALFM_CR01080WA"
3640379,,"CAALFM_CR01090WA","hypothetical protein CAALFM_CR01090WA"
3640378,,"CAALFM_CR01100CA","hypothetical protein CAALFM_CR01100CA"
3640377,"SRP54","CAALFM_CR01110WA","RNA-binding signal recognition particle subunit"
3640434,,"CAALFM_CR01120CA","hypothetical protein CAALFM_CR01120CA"
3640433,,"CAALFM_CR01130WA","hypothetical protein CAALFM_CR01130WA"
3640432,"ERG27","CAALFM_CR01140CA","3-keto-steroid reductase"
3640431,"CTF18","CAALFM_CR01150CA","Ctf18p"
3640429,,"CAALFM_CR01170WA","putative ubiquitin-protein ligase"
3640427,,"CAALFM_CR01180WA","hypothetical protein CAALFM_CR01180WA"
30515372,"SFT1","CAALFM_CR01190CA","Sft1p"
3640408,"OYE22","CAALFM_CR01200WA","Oye22p"
3640407,"HSE1","CAALFM_CR01210CA","ESCRT-0 subunit protein"
3640406,,"CAALFM_CR01220WA","hypothetical protein CAALFM_CR01220WA"
3640405,"CDC27","CAALFM_CR01230CA","anaphase promoting complex subunit"
3640404,"BOI2","CAALFM_CR01240CA","Boi2p"
3640403,,"CAALFM_CR01250CA","hypothetical protein CAALFM_CR01250CA"
3640402,,"CAALFM_CR01260WA","hypothetical protein CAALFM_CR01260WA"
3640401,"FTH2","CAALFM_CR01270CA","Fth2p"
3640400,,"CAALFM_CR01280CA","sterol transporter"
3640389,"CWH43","CAALFM_CR01290CA","Cwh43p"
30515373,,"CAALFM_CR01300WA","hypothetical protein CAALFM_CR01300WA"
3640387,"ATP3","CAALFM_CR01310WA","F1F0 ATP synthase subunit gamma"
3640386,,"CAALFM_CR01320CA","hypothetical protein CAALFM_CR01320CA"
3640385,"CPA2","CAALFM_CR01330WA","carbamoyl-phosphate synthase (glutamine-hydrolyzing)"
3640165,,"CAALFM_CR01340WA","hypothetical protein CAALFM_CR01340WA"
3640166,,"CAALFM_CR01350CA","hypothetical protein CAALFM_CR01350CA"
3640167,,"CAALFM_CR01360WA","MIND complex subunit"
3640168,,"CAALFM_CR01370CA","mitochondrial 37S ribosomal protein MRPS28"
3640131,,"CAALFM_CR01380WA","hypothetical protein CAALFM_CR01380WA"
3640133,"MGE1","CAALFM_CR01390WA","Mge1p"
3640134,"LYS12","CAALFM_CR01400WA","homoisocitrate dehydrogenase"
3640136,,"CAALFM_CR01410CA","hypothetical protein CAALFM_CR01410CA"
3640137,,"CAALFM_CR01420WA","transcription factor TFIIIB subunit"
3640138,,"CAALFM_CR01430WA","phosphatidylinositol N-acetylglucosaminyltransferase"
30515374,,"CAALFM_CR01440CA","hypothetical protein CAALFM_CR01440CA"
3640098,"CSP37","CAALFM_CR01470WA","Csp37p"
3640100,"PRS","CAALFM_CR01480WA","putative proline--tRNA ligase"
30515376,,"CAALFM_CR01490CA","Arf family guanine nucleotide exchange factor"
3640101,"PIN4","CAALFM_CR01500WA","Pin4p"
3640104,,"CAALFM_CR01510CA","hypothetical protein CAALFM_CR01510CA"
3640105,"PTC2","CAALFM_CR01520WA","type 2C protein phosphatase"
3640072,,"CAALFM_CR01530CA","hypothetical protein CAALFM_CR01530CA"
3640073,"SAS3","CAALFM_CR01540WA","Sas3p"
3640074,,"CAALFM_CR01550CA","3\\'-5\\'-exodeoxyribonuclease, partial"
3640075,,"CAALFM_CR01560WA","hypothetical protein CAALFM_CR01560WA"
3640077,,"CAALFM_CR01570WA","aminoacyl-tRNA hydrolase"
3640078,"DOT6","CAALFM_CR01580CA","Dot6p"
3640079,"TRP2","CAALFM_CR01590CA","anthranilate synthase"
3640080,,"CAALFM_CR01600CA","hypothetical protein CAALFM_CR01600CA"
3640083,"SHP1","CAALFM_CR01610CA","protein phosphatase regulator"
3640084,"MET6","CAALFM_CR01620CA","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase"
3640085,,"CAALFM_CR01630CA","hypothetical protein CAALFM_CR01630CA"
3640086,,"CAALFM_CR01640CA","hypothetical protein CAALFM_CR01640CA"
3640087,"URA5","CAALFM_CR01650WA","orotate phosphoribosyltransferase"
3640123,"SEC65","CAALFM_CR01660CA","RNA-binding signal recognition particle subunit"
3640124,,"CAALFM_CR01670WA","hypothetical protein CAALFM_CR01670WA"
3640125,"CDC4","CAALFM_CR01680CA","SCF ubiquitin ligase complex subunit"
3640128,"CDC60","CAALFM_CR01690CA","leucine--tRNA ligase"
3640129,,"CAALFM_CR01700CA","U6 snRNP complex subunit"
3640130,,"CAALFM_CR01710WA","hypothetical protein CAALFM_CR01710WA"
3640114,,"CAALFM_CR01720WA","hypothetical protein CAALFM_CR01720WA"
3640116,"IFU5","CAALFM_CR01730WA","Ifu5p"
3640118,"MCI4","CAALFM_CR01740WA","Mci4p"
3640119,"SEC4","CAALFM_CR01750CA","Rab family GTPase"
3640121,"FRS1","CAALFM_CR01760CA","phenylalanine--tRNA ligase subunit beta"
3640122,,"CAALFM_CR01770CA","hypothetical protein CAALFM_CR01770CA"
3640157,,"CAALFM_CR01780WA","25S rRNA (uracil2843-N3)-methyltransferase"
3640161,,"CAALFM_CR01790CA","MutS family protein"
3640162,"HST2","CAALFM_CR01800CA","histone deacetylase"
3640163,,"CAALFM_CR01810CA","hypothetical protein CAALFM_CR01810CA"
3640164,,"CAALFM_CR01820WA","hypothetical protein CAALFM_CR01820WA"
3640089,"PTR2","CAALFM_CR01830CA","Ptr2p"
3640093,"HNM3","CAALFM_CR01900CA","Hnm3p"
3640095,,"CAALFM_CR01910CA","dethiobiotin synthase"
3640096,,"CAALFM_CR01920WA","adenosylmethionine-8-amino-7-oxononanoate transaminase"
3640106,"BIO2","CAALFM_CR01930CA","biotin synthase"
3640107,,"CAALFM_CR01950WA","DNA-directed RNA polymerase I subunit"
3640110,"MRS2","CAALFM_CR01960CA","Mrs2p"
3640111,"VMA4","CAALFM_CR01970CA","H(+)-transporting V1 sector ATPase subunit E"
3640112,"CRC1","CAALFM_CR01980CA","carnitine:acyl carnitine antiporter"
3640113,"SPC98","CAALFM_CR01990CA","Spc98p"
3640149,"HEM1","CAALFM_CR02000CA","5-aminolevulinate synthase"
3640150,"OPT1","CAALFM_CR02020CA","oligopeptide transporter"
3640152,,"CAALFM_CR02030CA","rRNA (cytosine-C5-)-methyltransferase"
3640153,"PRK1","CAALFM_CR02040WA","serine/threonine protein kinase"
3640154,"HDA1","CAALFM_CR02050CA","histone deacetylase"
3640155,,"CAALFM_CR02060WA","hypothetical protein CAALFM_CR02060WA"
3640156,"ADH5","CAALFM_CR02070CA","Adh5p"
3640140,"CET1","CAALFM_CR02090CA","polynucleotide 5\\'-phosphatase"
3640141,,"CAALFM_CR02100CA","hypothetical protein CAALFM_CR02100CA"
3640142,"MCM6","CAALFM_CR02110WA","MCM DNA helicase complex subunit"
3640143,,"CAALFM_CR02120CA","hypothetical protein CAALFM_CR02120CA"
3640144,"ECM4","CAALFM_CR02130WA","omega-class glutathione transferase"
3640145,"RSR1","CAALFM_CR02140WA","Ras family GTPase"
3640146,"MDL1","CAALFM_CR02150WA","ATP-binding cassette permease"
3640147,"UGT51C1","CAALFM_CR02160WA","Ugt51c1p"
3640070,"MET2","CAALFM_CR02170WA","homoserine O-acetyltransferase"
3644946,"PHO113","CAALFM_CR02180WA","acid phosphatase"
3644945,"SEF1","CAALFM_CR02190CA","Sef1p"
3644944,"RAD51","CAALFM_CR02200CA","recombinase"
3644943,,"CAALFM_CR02210WA","protein kinase"
3644918,"OPT3","CAALFM_CR02220CA","Opt3p"
3644915,"OPT2","CAALFM_CR02240CA","Opt2p"
3644913,"CEX1","CAALFM_CR02250CA","Cex1p"
3644912,,"CAALFM_CR02260CA","hypothetical protein CAALFM_CR02260CA"
3644911,,"CAALFM_CR02270CA","hypothetical protein CAALFM_CR02270CA"
3644941,"PGA23","CAALFM_CR02280WA","Pga23p"
3644939,"PGA22","CAALFM_CR02290WA","Pga22p"
3644938,,"CAALFM_CR02300CA","hypothetical protein CAALFM_CR02300CA"
3644937,"KAR4","CAALFM_CR02330CA","Kar4p"
3644936,,"CAALFM_CR02340WA","hypothetical protein CAALFM_CR02340WA, partial"
3644935,"GEF2","CAALFM_CR02350CA","Gef2p"
3644934,"IDP2","CAALFM_CR02360WA","isocitrate dehydrogenase (NADP(+))"
3644933,"ERG25","CAALFM_CR02370WA","methylsterol monooxygenase"
3644931,,"CAALFM_CR02380CA","hypothetical protein CAALFM_CR02380CA"
3644930,,"CAALFM_CR02390WA","protein phosphatase regulator"
3644929,"PHO112","CAALFM_CR02400WA","Pho112p"
3644928,,"CAALFM_CR02410WA","hypothetical protein CAALFM_CR02410WA"
3644926,,"CAALFM_CR02420WA","rRNA-binding ribosome biosynthesis protein"
3644924,,"CAALFM_CR02430CA","hypothetical protein CAALFM_CR02430CA"
3644923,,"CAALFM_CR02440WA","hypothetical protein CAALFM_CR02440WA"
3644922,,"CAALFM_CR02460WA","hypothetical protein CAALFM_CR02460WA"
3647697,"OPT4","CAALFM_CR02490WA","Opt4p"
3647696,,"CAALFM_CR02500WA","hypothetical protein CAALFM_CR02500WA"
3647694,,"CAALFM_CR02510WA","hypothetical protein CAALFM_CR02510WA"
3647693,"RPC19","CAALFM_CR02520WA","DNA-directed RNA polymerase core subunit"
3647692,"DBP2","CAALFM_CR02530WA","DEAD-box ATP-dependent RNA helicase"
3647690,"CHO2","CAALFM_CR02540WA","phosphatidylethanolamine N-methyltransferase"
3647689,,"CAALFM_CR02550CA","exosome non-catalytic core subunit"
3647687,"ASG1","CAALFM_CR02560CA","Asg1p"
3647685,,"CAALFM_CR02570CA","triglyceride lipase"
3647684,"PAN6","CAALFM_CR02580WA","pantoate--beta-alanine ligase"
3642595,,"CAALFM_CR02590CA","DEAH-box RNA helicase"
3642596,,"CAALFM_CR02600WA","hypothetical protein CAALFM_CR02600WA"
3642566,,"CAALFM_CR02610CA","FG-nucleoporin"
3642567,,"CAALFM_CR02620CA","hypothetical protein CAALFM_CR02620CA"
3642568,,"CAALFM_CR02630CA","Golgi transport complex subunit"
3642570,"RFG1","CAALFM_CR02640WA","Rfg1p"
3642571,"DRE2","CAALFM_CR02650CA","electron carrier"
3642572,,"CAALFM_CR02670CA","hypothetical protein CAALFM_CR02670CA"
3642573,,"CAALFM_CR02680WA","kinetochore-associated Ndc80 complex subunit"
3642574,,"CAALFM_CR02690WA","hypothetical protein CAALFM_CR02690WA"
3642575,,"CAALFM_CR02700WA","hypothetical protein CAALFM_CR02700WA"
3642576,"RRP9","CAALFM_CR02710WA","Rrp9p"
3642577,"RPC31","CAALFM_CR02720CA","DNA-directed RNA polymerase III subunit"
3642578,"INN1","CAALFM_CR02740WA","Inn1p"
3642579,"PGA34","CAALFM_CR02750CA","Pga34p"
3642580,"RPD3","CAALFM_CR02760CA","Rpd3p"
3642581,,"CAALFM_CR02770CA","E1 ubiquitin-activating protein"
3642582,,"CAALFM_CR02780WA","hypothetical protein CAALFM_CR02780WA"
3642558,"ALG5","CAALFM_CR02790CA","dolichyl-phosphate beta-glucosyltransferase"
3642559,,"CAALFM_CR02800CA","hypothetical protein CAALFM_CR02800CA"
3642560,"CIRT4B","CAALFM_CR02810WA","Cirt4bp"
3642562,"PGM2","CAALFM_CR02820WA","phosphoglucomutase"
3642563,"GZF3","CAALFM_CR02850CA","Gzf3p"
3642564,"RHO1","CAALFM_CR02860WA","Rho family GTPase"
3642565,"APL4","CAALFM_CR02870WA","Apl4p"
3642584,,"CAALFM_CR02880WA","hypothetical protein CAALFM_CR02880WA"
3642585,,"CAALFM_CR02890CA","DNA-directed RNA polymerase III subunit"
3642586,,"CAALFM_CR02910WA","serine/threonine protein kinase regulatory subunit"
3642587,"AQY1","CAALFM_CR02920CA","Aqy1p"
3642588,,"CAALFM_CR02930WA","hypothetical protein CAALFM_CR02930WA"
3642589,,"CAALFM_CR02940CA","hypothetical protein CAALFM_CR02940CA"
3642590,,"CAALFM_CR02950CA","mitochondrial 37S ribosomal protein MRP21"
3642591,,"CAALFM_CR02960WA","hypothetical protein CAALFM_CR02960WA"
3642603,,"CAALFM_CR02970CA","TFIIH/NER complex ATPase/helicase subunit"
3642605,"SRP40","CAALFM_CR02980CA","Srp40p"
3642607,"RIB1","CAALFM_CR02990CA","GTP cyclohydrolase II"
3642597,,"CAALFM_CR03000CA","hypothetical protein CAALFM_CR03000CA"
30515385,"ERV1","CAALFM_CR03010CA","flavin-linked sulfhydryl oxidase"
3642598,,"CAALFM_CR03020CA","hypothetical protein CAALFM_CR03020CA"
30515386,"RPL28","CAALFM_CR03030CA","ribosomal 60S subunit protein L28"
3645111,"HGT18","CAALFM_CR03040CA","Hgt18p"
3645109,"ZCF11","CAALFM_CR03050CA","Zcf11p"
3645108,"ARC1","CAALFM_CR03060WA","Arc1p"
3645105,,"CAALFM_CR03070WA","ribosome dissociation factor"
3645104,,"CAALFM_CR03080CA","hypothetical protein CAALFM_CR03080CA"
30515387,"MLC1","CAALFM_CR03090CA","Mlc1p"
3645103,"SMC5","CAALFM_CR03100WA","DNA repair ATPase"
3645124,,"CAALFM_CR03110WA","glutamate--tRNA ligase"
3645123,,"CAALFM_CR03120WA","hypothetical protein CAALFM_CR03120WA"
3645121,,"CAALFM_CR03130WA","hypothetical protein CAALFM_CR03130WA"
3645120,"SYN8","CAALFM_CR03140CA","syntaxin"
3645119,"SYS3","CAALFM_CR03150WA","Sys3p"
3645117,,"CAALFM_CR03160WA","tRNA methyltransferase"
3645134,"DPS1-1","CAALFM_CR03170WA","aspartate--tRNA ligase"
3645133,,"CAALFM_CR03180WA","hypothetical protein CAALFM_CR03180WA"
3645131,,"CAALFM_CR03200CA","ribonuclease P/MRP protein subunit"
3645129,"SSU72","CAALFM_CR03210CA","RNA polymerase II subunit A C-terminal domain phosphatase"
3645128,,"CAALFM_CR03220CA","cysteine protease"
3645127,,"CAALFM_CR03230WA","hypothetical protein CAALFM_CR03230WA"
3645126,,"CAALFM_CR03240CA","hypothetical protein CAALFM_CR03240CA"
3645102,,"CAALFM_CR03250CA","hypothetical protein CAALFM_CR03250CA"
30515389,,"CAALFM_CR03260WA","hypothetical protein CAALFM_CR03260WA"
3645101,,"CAALFM_CR03270WA","hypothetical protein CAALFM_CR03270WA"
3645100,"IFR2","CAALFM_CR03280WA","Ifr2p"
3645099,"IME2","CAALFM_CR03290CA","protein kinase"
3645098,,"CAALFM_CR03300CA","hypothetical protein CAALFM_CR03300CA"
3645097,,"CAALFM_CR03310CA","hypothetical protein CAALFM_CR03310CA"
3645096,,"CAALFM_CR03320CA","hypothetical protein CAALFM_CR03320CA"
3645095,,"CAALFM_CR03330WA","hypothetical protein CAALFM_CR03330WA"
3645144,,"CAALFM_CR03340CA","hypothetical protein CAALFM_CR03340CA"
3645142,,"CAALFM_CR03350CA","hypothetical protein CAALFM_CR03350CA"
3645141,,"CAALFM_CR03360WA","rRNA-processing protein"
3645140,"KTI12","CAALFM_CR03370CA","Kti12p"
3645139,"MTG1","CAALFM_CR03380WA","putative GTPase"
3645138,"YKU80","CAALFM_CR03390CA","ATP-dependent DNA helicase"
3645137,,"CAALFM_CR03400WA","isoleucine--tRNA ligase"
3645136,,"CAALFM_CR03410WA","hypothetical protein CAALFM_CR03410WA"
3645115,"NOT4","CAALFM_CR03420CA","CCR4-NOT core ubiquitin-protein ligase subunit"
3645114,,"CAALFM_CR03430WA","hypothetical protein CAALFM_CR03430WA"
3645112,,"CAALFM_CR03440WA","hypothetical protein CAALFM_CR03440WA"
3643209,"HXT5","CAALFM_CR03450WA","Hxt5p"
3643213,,"CAALFM_CR03460WA","hypothetical protein CAALFM_CR03460WA"
3643198,,"CAALFM_CR03470WA","hypothetical protein CAALFM_CR03470WA"
3643199,,"CAALFM_CR03480WA","hypothetical protein CAALFM_CR03480WA"
3643200,"DEM1","CAALFM_CR03490WA","Dem1p"
3643201,"CIT1","CAALFM_CR03500WA","citrate (Si)-synthase"
3643202,,"CAALFM_CR03510WA","hypothetical protein CAALFM_CR03510WA"
3643203,,"CAALFM_CR03520CA","hypothetical protein CAALFM_CR03520CA"
3643204,,"CAALFM_CR03530WA","hypothetical protein CAALFM_CR03530WA"
3643215,,"CAALFM_CR03540WA","hypothetical protein CAALFM_CR03540WA"
3643216,"NCS2","CAALFM_CR03550WA","Ncs2p"
3643217,,"CAALFM_CR03560WA","hypothetical protein CAALFM_CR03560WA"
3643218,"YVH1","CAALFM_CR03570CA","tyrosine protein phosphatase"
3643211,,"CAALFM_CR03580CA","hypothetical protein CAALFM_CR03580CA"
3643208,,"CAALFM_CR03590CA","DNA 5\\'-adenosine monophosphate hydrolase"
3643207,,"CAALFM_CR03600CA","coatomer subunit zeta"
3643206,"VTC3","CAALFM_CR03610CA","vacuolar transporter chaperone"
3643182,,"CAALFM_CR03620CA","hypothetical protein CAALFM_CR03620CA"
3643189,"IFF3","CAALFM_CR03630WA","Iff3p"
3643190,,"CAALFM_CR03640CA","hypothetical protein CAALFM_CR03640CA"
3643191,"SGD1","CAALFM_CR03650WA","Sgd1p"
3643219,,"CAALFM_CR03660CA","hypothetical protein CAALFM_CR03660CA"
3643220,,"CAALFM_CR03670WA","hypothetical protein CAALFM_CR03670WA"
3643221,"SMC1","CAALFM_CR03680CA","cohesin subunit"
3643222,,"CAALFM_CR03690WA","hypothetical protein CAALFM_CR03690WA"
3643223,,"CAALFM_CR03700CA","hypothetical protein CAALFM_CR03700CA"
3643224,,"CAALFM_CR03710CA","hypothetical protein CAALFM_CR03710CA"
3643225,"TAL1","CAALFM_CR03720WA","sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase"
3643226,,"CAALFM_CR03730CA","hypothetical protein CAALFM_CR03730CA"
3643176,,"CAALFM_CR03740CA","riboflavin kinase"
3643177,"PRP42","CAALFM_CR03750CA","mRNA splicing protein"
3643178,,"CAALFM_CR03760WA","S-adenosylmethionine-dependent methyltransferase"
30515390,"RPS30","CAALFM_CR03770CA","ribosomal 40S subunit protein S30B"
3643179,,"CAALFM_CR03780CA","hypothetical protein CAALFM_CR03780CA"
3643180,"KRE1","CAALFM_CR03790CA","Kre1p"
3643193,"PPH3","CAALFM_CR03800CA","phosphoprotein phosphatase PP4 catalytic subunit"
3643194,"PRP13","CAALFM_CR03810WA","Prp13p"
3643196,"ULP2","CAALFM_CR03820CA","SUMO protease"
3643197,"MCM2","CAALFM_CR03830CA","MCM DNA helicase complex subunit"
3643184,,"CAALFM_CR03840CA","hypothetical protein CAALFM_CR03840CA"
3643185,"HGT3","CAALFM_CR03850WA","Hgt3p"
3643186,,"CAALFM_CR03860CA","hypothetical protein CAALFM_CR03860CA"
3643187,,"CAALFM_CR03870WA","hypothetical protein CAALFM_CR03870WA"
3641008,"IFF9","CAALFM_CR03880WA","Iff9p"
3641009,"WOR3","CAALFM_CR03890WA","Wor3p"
3640953,"HST7","CAALFM_CR03900WA","mitogen-activated protein kinase kinase"
3640954,,"CAALFM_CR03910CA","hypothetical protein CAALFM_CR03910CA"
3640956,"TPO4","CAALFM_CR03920CA","Tpo4p"
3640957,,"CAALFM_CR03930CA","hypothetical protein CAALFM_CR03930CA"
3648378,,"CAALFM_CR03940WA","hypothetical protein CAALFM_CR03940WA"
3640960,,"CAALFM_CR03950WA","hypothetical protein CAALFM_CR03950WA"
3640963,,"CAALFM_CR03960CA","hypothetical protein CAALFM_CR03960CA"
30515391,"SEC22","CAALFM_CR03970CA","SNAP receptor"
3640964,,"CAALFM_CR03980WA","hypothetical protein CAALFM_CR03980WA"
3640965,"GCD1","CAALFM_CR03990CA","translation initiation factor eIF2B subunit gamma"
3640966,"RPT4","CAALFM_CR04000WA","proteasome regulatory particle base subunit"
3640968,"MRPL40","CAALFM_CR04010CA","mitochondrial 54S ribosomal protein YmL40"
3640969,,"CAALFM_CR04020CA","centrin"
3640970,"NIP100","CAALFM_CR04030WA","Nip100p"
3641019,"SPT14","CAALFM_CR04040CA","phosphatidylinositol N-acetylglucosaminyltransferase"
3641020,"MEX67","CAALFM_CR04050CA","Mex67p"
3641021,"DAP1","CAALFM_CR04060CA","Dap1p"
3641022,"NAT5","CAALFM_CR04070WA","peptide alpha-N-acetyltransferase subunit"
3641023,,"CAALFM_CR04080CA","protein-transporting protein"
3641024,"ADE17","CAALFM_CR04090CA","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase"
3641025,"RPL15A","CAALFM_CR04100CA","ribosomal 60S subunit protein L15B"
3641026,,"CAALFM_CR04110WA","RNA-binding snoRNP assembly protein"
3640972,,"CAALFM_CR04120CA","mismatch repair ATPase"
