"","Platform_ORF","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","GO.Function","GO.Function.ID","GO.Component","GO.Component.ID","GO.Process","GO.Process.ID","Gene.symbol","Chromosome.Location","Standard.Error","Probability"
"11","orf19.10260",-0.928292165875,-1.29682187890029,-0.559762452849714,0.260042165875,-5.72997647846995,0.000323963204309018,0.120089841066618,0.684461692089289,"molecular_function","GO:0003674","integral component of membrane///endosome///fungal-type vacuole membrane","GO:0016021///GO:0005768///GO:0000329","invasive growth in response to glucose limitation///pseudohyphal growth///endosomal transport///cellular copper ion homeostasis///vacuolar transport","GO:0001403///GO:0007124///GO:0016197///GO:0006878///GO:0007034","EMP70","Contig20158:157337..159229",0.188025363788411,0.664733772246677
"12","orf19.8620",-1.508115368,-1.99859600562551,-1.01763473037449,0.6144961472,-7.6264147744054,0.000342889770983423,0.120089841066618,0.0141359623903181,"","","","","","",NA,"Contig20081:38310..38930",0.250245223278324,0.503533931750322
"13","orf19.11410",-1.25064008975,-1.70654696793789,-0.794733211562113,-0.11785991025,-6.24017636871471,0.000176205202778478,0.120089841066618,1.22872678889448,"zinc ion binding///nucleic acid binding///DNA-binding transcription factor activity","GO:0008270///GO:0003676///GO:0003700","cellular_component","GO:0005575","regulation of transcription, DNA-templated","GO:0006355","AZF2","Contig20194:complement(56872..55730)",0.23260555009586,0.773595654861613
"14","orf19.11719",-0.923156873166667,-1.27587537933066,-0.570438367002679,0.629277319857143,-6.07896098043306,0.000347933359958186,0.120089841066618,0.624789173409692,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20202:complement(51955..51467)",0.179958421512239,0.651306986168606
"15","orf19.13674",-0.74248488925,-1.03379325403541,-0.451176524464591,-0.60001511075,-5.7979614967774,0.000298125255946614,0.120089841066618,0.759415222755325,"metal ion binding///metalloendopeptidase activity","GO:0046872///GO:0004222","mitochondrial matrix///mitochondrial processing peptidase complex","GO:0005759///GO:0017087","protein targeting to mitochondrion///protein processing involved in protein targeting to mitochondrion","GO:0006626///GO:0006627","MAS2","Contig20242:complement(29165..27708)",0.14862671672725,0.681226758857754
"16","orf19.8530",-1.138877852375,-1.59847672093488,-0.679278983815116,0.738127852375,-5.63688090629668,0.000363381390703699,0.121823611233415,0.580587475981013,"","","","","","","TOM12","Contig20076:259261..260976///Contig20076:254282..259135",0.234489218653002,0.641202573344655
"17","orf19.9841",-0.678305042875,-0.963184266004712,-0.393425819745288,-0.777694957125,-5.41632770100084,0.000479238489507254,0.141165802083194,0.328733402840352,"unfolded protein binding///tubulin binding","GO:0051082///GO:0015631","prefoldin complex///prefoldin complex///cytoplasm","GO:0016272///GO:0016272///GO:0005737","protein folding///tubulin complex assembly","GO:0006457///GO:0007021","GIM4","Contig20146:14450..14824",0.145346542413118,0.58145116236554
"18","orf19.11493",0.635542656875,0.36175958139715,0.90932573235285,-0.464542656875,5.28054527166968,0.000570167144277693,0.150665014171094,0.169603649791209,"poly(A)-specific ribonuclease activity///poly(A) binding///RNA binding","GO:0004535///GO:0008143///GO:0003723","PAN complex","GO:0031251","DNA repair///nuclear-transcribed mRNA poly(A) tail shortening///postreplication repair","GO:0006281///GO:0000289///GO:0006301","PAN3","Contig20194:219319..221415",0.13968524259074,0.542299564043617
"19","orf19.10738",0.61407409775,0.347139951768279,0.881008243731721,-0.49332409775,5.2330792254004,0.000606238058163969,0.154360487847699,0.113236945919565,"molecular_function","GO:0003674","integral component of membrane","GO:0016021","invasive growth in response to glucose limitation///pseudohyphal growth///cellular copper ion homeostasis///vacuolar transport///cellular response to drug","GO:0001403///GO:0007124///GO:0006878///GO:0007034///GO:0035690",NA,"Contig20172:complement(21340..19037)",0.136190890807001,0.528279025369207
"20","orf19.11566",-1.028245873625,-1.50805424832666,-0.548437498923336,0.248995873625,-4.87494605428072,0.000973087668754269,0.189353344236019,-0.324481264793774,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20196:complement(38730..38080)",0.244800191174318,0.419584019188004
"21","orf19.11508",-0.6540389355,-0.965621108167898,-0.342456762832102,0.3145389355,-4.77498118346354,0.00111416769381678,0.194882462270647,-0.45058971313002,"threonine-type endopeptidase activity///endopeptidase activator activity","GO:0004298///GO:0061133","nucleus///proteasome core complex, beta-subunit complex///endoplasmic reticulum membrane","GO:0005634///GO:0019774///GO:0005789","proteasome-mediated ubiquitin-dependent protein catabolic process///proteasomal ubiquitin-independent protein catabolic process","GO:0043161///GO:0010499","PRE1","Contig20194:238035..238625",0.158970496259132,0.389220565621836
"22","orf19.11702",-2.187028796,-3.19444495039596,-1.17961264160404,-0.574903889142857,-5.04228843837897,0.00112848568230344,0.195685254306326,-0.411182374887272,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20202:15232..16404",0.51398783387549,0.398628643749442
"23","orf19.12390",1.12718724575,0.587582846402361,1.66679164509764,-0.24368724575,4.75183385170807,0.00114988848354675,0.197423448092323,-0.48003501421551,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20216:23214..27167",0.275308367014102,0.382243857167725
"24","orf19.8192",-0.90090213625,-1.33658675283843,-0.465217519661568,0.06065213625,-4.70376973764986,0.00122806714129563,0.200833906887492,-0.541469423721605,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20054:3943..4968",0.222288069687976,0.367845823111981
"25","orf19.12966",-1.27267340025,-1.89566645267151,-0.64968034782849,0.41792340025,-4.64701876851635,0.00132782251297894,0.213673198788571,-0.614515319016625,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20230:complement(15938..15492)",0.31785359817424,0.351029881940505
"26","orf19.8926",-1.07052657775,-1.55626290357017,-0.584790251929832,0.0431843851666667,-5.26189672448966,0.00135552378624527,0.21475780729578,-0.566806759521498,"","","","","","","HYR6","Contig20110:43416..45119",0.247824656030698,0.361973974434449
"27","orf19.13236",-0.604532979375,-0.904472172042982,-0.304593786707018,-0.351967020625,-4.58487439853959,0.00144715771300478,0.22252006228528,-0.695132558077376,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20234:complement(66612..66241)",0.153030200340807,0.332892284415769
"28","orf19.11648",-0.63939513125,-0.957627012585338,-0.321163249914662,0.18014513125,-4.57052723847308,0.00147631692901381,0.22252006228528,-0.713837725608557,"hydrolase activity","GO:0016787","cellular_component","GO:0005575","metabolic process","GO:0008152","PHO14","Contig20200:29715..30680",0.162363204762927,0.328751398347863
"29","orf19.9936",-0.826121473125,-1.24041934162846,-0.411823604621545,0.329371473125,-4.5359877675494,0.00154913891752433,0.225803835695665,-0.759011715121045,"","","","","","",NA,"Contig20148:complement(37288..35549)",0.211376463522171,0.318860872000787
"30","orf19.12136",-0.6171837265,-0.929456373176373,-0.304911079823627,-0.5318162735,-4.49594702150885,0.00163842474663575,0.228867456795681,-0.81163308966091,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20212:205943..206353",0.159322778916517,0.307542603412955
"31","orf19.9240",-0.613253940625,-0.926741059122293,-0.299766822127707,0.330503940625,-4.45001331515501,0.00174771091985361,0.236012568582049,-0.872331351566951,"hydrolase activity, hydrolyzing O-glycosyl compounds///transferase activity, transferring glycosyl groups","GO:0004553///GO:0016757","cell surface///cell surface///extracellular region///cell septum///cell surface///yeast-form cell wall///hyphal cell wall///fungal-type cell wall///anchored component of plasma membrane///fungal-type cell wall///fungal-type cell wall///cellular bud neck septin ring///extracellular vesicle","GO:0009986///GO:0009986///GO:0005576///GO:0030428///GO:0009986///GO:0030445///GO:0030446///GO:0009277///GO:0046658///GO:0009277///GO:0009277///GO:0000144///GO:1903561","carbohydrate metabolic process///fungal-type cell wall organization///fungal-type cell wall organization///pathogenesis///pathogenesis///adhesion of symbiont to host///growth of unicellular organism as a thread of attached cells///cell wall chitin metabolic process///fungal-type cell wall organization","GO:0005975///GO:0031505///GO:0031505///GO:0009405///GO:0009405///GO:0044406///GO:0070783///GO:0006037///GO:0031505","UTR2","Contig20123:148155..149567",0.159942407396578,0.294769427901526
"32","orf19.11348",0.68365401625,0.334162421782146,1.03314561071785,-0.27490401625,4.44979800743147,0.00174824124875592,0.236012568582049,-0.872616699870896,"rRNA primary transcript binding","GO:0042134","nucleolus///preribosome, large subunit precursor","GO:0005730///GO:0030687","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///ribosomal large subunit biogenesis","GO:0000463///GO:0000465///GO:0042273","RLP7","Contig20193:32318..33205",0.178312037993803,0.29471011305247
"33","orf19.10331",0.702074665,0.335798315793464,1.06835101420654,0.078675335,4.36028711442651,0.00198442328127819,0.252907730317792,-0.991916326351483,"","","","","","",NA,"Contig20160:28687..29826",0.186875688370682,0.270533733526885
"34","orf19.10186",-0.751965279375,-1.15312305289383,-0.350807505856167,-1.086284720625,-4.26405933058589,0.00227699290306313,0.27927873320192,-1.12164765701953,"flavin adenine dinucleotide binding///oxidoreductase activity","GO:0050660///GO:0016491","cellular_component","GO:0005575","oxidation-reduction process","GO:0055114","NDI1","Contig20158:complement(15365..14022)",0.204672333427976,0.245705788007019
"35","orf19.10595",-0.611219421,-0.94120365536305,-0.281235186636949,0.675219421,-4.21351570365065,0.00244887624351298,0.286390381617811,-1.1903955123769,"hydrolase activity","GO:0016787","endoplasmic reticulum","GO:0005783","GPI anchor biosynthetic process///DNA repair","GO:0006506///GO:0006281","CDC1","Contig20166:13607..14809",0.168359303246454,0.23318820616027
"36","orf19.11620",-0.630942736375,-0.976229062148132,-0.285656410601869,0.628692736375,-4.15672437624845,0.00265870100790412,0.291733073629421,-1.2681334000438,"molecular_function","GO:0003674","mitochondrial inner membrane///integral component of mitochondrial membrane","GO:0005743///GO:0032592","lipid homeostasis///mitochondrion organization","GO:0055088///GO:0007005",NA,"Contig20198:complement(17999..16191)",0.176166492741394,0.219576950659423
"37","orf19.9592",0.7383430465,0.337576154938826,1.13910993806117,1.1546569535,4.19089727634957,0.00253024216506111,0.291733073629421,-1.22129429050081,"molecular_function","GO:0003674","cell surface","GO:0009986","biological_process","GO:0008150",NA,"Contig20139:98512..100197",0.204472903857742,0.227708759694833
"38","orf19.12175",-0.466663775625,-0.726377407210911,-0.206950144039088,0.115413775625,-4.08742698930509,0.00294107574883015,0.301750964473131,-1.36368649386373,"3-dehydroquinate dehydratase activity///3-phosphoshikimate 1-carboxyvinyltransferase activity///shikimate kinase activity///3-dehydroquinate synthase activity///shikimate 3-dehydrogenase (NADP+) activity///3-dehydroquinate synthase activity///3-phosphoshikimate 1-carboxyvinyltransferase activity///shikimate 3-dehydrogenase (NADP+) activity///3-dehydroquinate dehydratase activity","GO:0003855///GO:0003866///GO:0004765///GO:0003856///GO:0004764///GO:0003856///GO:0003866///GO:0004764///GO:0003855","cytoplasm","GO:0005737","aromatic amino acid family biosynthetic process///aromatic amino acid family biosynthetic process///oxidation-reduction process","GO:0009073///GO:0009073///GO:0055114","ARO1","Contig20212:complement(298356..293695)",0.132506954890771,0.203641803671258
"39","orf19.9240",-0.6034623175,-0.938710810127371,-0.268213824872629,0.2349623175,-4.09471788382631,0.00290991341584155,0.301750964473131,-1.35359749130239,"hydrolase activity, hydrolyzing O-glycosyl compounds///transferase activity, transferring glycosyl groups","GO:0004553///GO:0016757","cell surface///cell surface///extracellular region///cell septum///cell surface///yeast-form cell wall///hyphal cell wall///fungal-type cell wall///anchored component of plasma membrane///fungal-type cell wall///fungal-type cell wall///cellular bud neck septin ring///extracellular vesicle","GO:0009986///GO:0009986///GO:0005576///GO:0030428///GO:0009986///GO:0030445///GO:0030446///GO:0009277///GO:0046658///GO:0009277///GO:0009277///GO:0000144///GO:1903561","carbohydrate metabolic process///fungal-type cell wall organization///fungal-type cell wall organization///pathogenesis///pathogenesis///adhesion of symbiont to host///growth of unicellular organism as a thread of attached cells///cell wall chitin metabolic process///fungal-type cell wall organization","GO:0005975///GO:0031505///GO:0031505///GO:0009405///GO:0009405///GO:0044406///GO:0070783///GO:0006037///GO:0031505","UTR2","Contig20123:148155..149567",0.171045149299679,0.205282848308926
"40","orf19.11314",-0.519153572625,-0.807586953092994,-0.230720192157006,-0.253346427375,-4.09440680059724,0.00291123581200627,0.301750964473131,-1.35402779184106,"RNA polymerase III type 1 promoter sequence-specific DNA binding///chromatin insulator sequence binding///RNA polymerase III type 2 promoter sequence-specific DNA binding///RNA polymerase III general transcription initiation factor activity///DNA binding, bending///DNA-binding transcription factor activity","GO:0001002///GO:0043035///GO:0001003///GO:0000995///GO:0008301///GO:0003700","transcription factor TFIIIC complex","GO:0000127","protein localization to chromatin///5S class rRNA transcription by RNA polymerase III///transcription initiation from RNA polymerase III promoter///transcription by RNA polymerase III///regulation of transcription, DNA-templated","GO:0071168///GO:0042791///GO:0006384///GO:0006383///GO:0006355","TFC3","Contig20192:complement(123112..120851)///Contig20192:complement(125051..123093)",0.147159887993875,0.205212657206795
"41","orf19.11087",-0.501303543125,-0.781215548085038,-0.221391538164962,0.270303543125,-4.07398956186622,0.00299944560875085,0.303185167939816,-1.38230279567874,"molecular_function","GO:0003674","Ino80 complex///Ino80 complex","GO:0031011///GO:0031011","biological_process","GO:0008150",NA,"Contig20184:complement(24855..23722)",0.142812247428591,0.200639415302029
"42","orf19.13566",-0.6797862705,-1.06046859471868,-0.299103946281323,-0.1194637295,-4.0620974656904,0.00305213363663157,0.305849501094496,-1.39880173886012,"histone binding","GO:0042393","nucleus","GO:0005634","chromatin remodeling","GO:0006338",NA,"Contig20238:complement(49987..49484)",0.194225675621774,0.19800632624068
"43","orf19.12413",0.648474287375,0.279839598240899,1.0171089765091,0.181025712625,4.00163269502356,0.00333571841886807,0.306394675179293,-1.48302918430018,"3'-5'-exoribonuclease activity","GO:0000175","intracellular","GO:0005622","U5 snRNA 3'-end processing///exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)///ncRNA 3'-end processing","GO:0034476///GO:0000467///GO:0043628","REX3","Contig20216:complement(89980..88760)",0.188078923027603,0.184970314826085
"44","orf19.14021",0.549842517375,0.238494696659647,0.861190338090353,-0.455342517375,4.01728970565735,0.00325969002935371,0.306394675179293,-1.46116483669777,"protein binding","GO:0005515","SCF ubiquitin ligase complex///SCF ubiquitin ligase complex","GO:0019005///GO:0019005","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process///SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","GO:0031146///GO:0031146","TIP120","Contig20254:complement(32164..28577)",0.158850928936405,0.188289231125916
"45","orf19.12103",-0.67144600525,-1.05372138449069,-0.289170626009306,-0.22855399475,-3.99553950813604,0.00336581457325699,0.306394675179293,-1.49154821690722,"serine 3-dehydrogenase activity///carbonyl reductase (NADPH) activity///oxidoreductase activity///oxidoreductase activity","GO:0031132///GO:0004090///GO:0016491///GO:0016491","cellular_component","GO:0005575","metabolic process","GO:0008152",NA,"Contig20212:complement(140615..139809)",0.195038458796272,0.183689462244437
"46","orf19.13557",2.41206335983333,1.0607015591791,3.76342516048757,-0.749732879857143,4.1457123752167,0.0035244142900054,0.317908490777841,-1.45653263167814,"oxidoreductase activity","GO:0016491","cellular_component","GO:0005575","oxidation-reduction process","GO:0055114","FRE6","Contig20238:complement(36621..34429)",0.689470306456242,0.188998223100842
"47","orf19.9223",-0.47707921475,-0.754960145919312,-0.199198283580688,-0.50942078525,-3.90546196929049,0.00384609404518941,0.322730539641317,-1.61814377837544,"molecular_function","GO:0003674","integral component of membrane","GO:0016021","biological_process","GO:0008150",NA,"Contig20123:97649..98317",0.141775985290465,0.165461024952472
"48","orf19.12602",-0.707615161125,-1.11769011880849,-0.297540203441513,0.785615161125,-3.92531526734616,0.00373430630961584,0.322730539641317,-1.59013716027938,"","","","","","",NA,"Contig20219:26270..26809",0.209221917185452,0.169364600318957
"49","orf19.12369",0.596026245875,0.247695258629759,0.944357233120241,-0.046526245875,3.89236838462434,0.00392176198797832,0.324634742338205,-1.63664660398789,"nucleosome binding","GO:0031491","Swr1 complex///nuclear chromosome, telomeric region///nuclear periphery///cytoplasm","GO:0000812///GO:0000784///GO:0034399///GO:0005737","chromatin remodeling///histone exchange","GO:0006338///GO:0043486","ARP6","Contig20215:complement(398809..397469)",0.177719891451654,0.162921876366903
"50","orf19.10883.1",-0.62660713175,-0.994549377653415,-0.258664885846585,0.43410713175,-3.87397078660555,0.00403076476718615,0.332290300376841,-1.66268732826082,"","","","","","",NA,"Contig20174:complement(28624..28220)",0.187725635665008,0.159401584853349
"51","orf19.13965",-0.517661011,-0.822997468519483,-0.212324553480517,0.095911011,-3.85662539245282,0.00413648267376147,0.335505439446419,-1.68728410481764,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20251:43282..43782",0.155783906897695,0.156133340759079
"52","orf19.10330",0.660628856375,0.268542383766305,1.05271532898369,-0.475378856375,3.83280164027996,0.00428650686065089,0.343518268932242,-1.72113879296303,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150","SNG2","Contig20160:22959..24470",0.200044118677905,0.151724538078541
"53","orf19.9563",-0.447671620375,-0.714693281203066,-0.180649959546935,0.170671620375,-3.81376328668138,0.00441054312422663,0.347914019387524,-1.74825196003481,"molecular_function","GO:0003674","nucleus///cytoplasm///CCR4-NOT core complex","GO:0005634///GO:0005737///GO:0030015","positive regulation of transcription elongation from RNA polymerase II promoter///nuclear-transcribed mRNA poly(A) tail shortening///protein ubiquitination///deadenylation-dependent decapping of nuclear-transcribed mRNA///single-species biofilm formation on inanimate substrate///regulation of transcription by RNA polymerase II///positive regulation of cell-substrate adhesion///positive regulation of cell adhesion involved in single-species biofilm formation///filamentous growth of a population of unicellular organisms///filamentous growth","GO:0032968///GO:0000289///GO:0016567///GO:0000290///GO:0044011///GO:0006357///GO:0010811///GO:1900189///GO:0044182///GO:0030447","NOT3","Contig20139:complement(52925..50592)",0.136235541238809,0.1482678126301
"54","orf19.12155",0.5622865805,0.221765524474867,0.902807636525133,-0.4622865805,3.75624931425738,0.00480890636848236,0.35349317479552,-1.83047190228847,"molecular_function","GO:0003674","cellular_component","GO:0005575","biological_process","GO:0008150",NA,"Contig20212:249201..252905",0.173735232665884,0.138182065779455
"55","orf19.12074",0.722975323333333,0.295011844210021,1.15093880245665,-0.127693134285714,3.92372769107623,0.00475889439437707,0.35349317479552,-1.73707334292904,"","","","","","",NA,"Contig20212:85548..86006",0.218348713838425,0.149685056020176
"56","orf19.9408",0.4840769235,0.190475171091966,0.777678675908034,0.1106730765,3.75056243293013,0.00485031649234718,0.35349317479552,-1.83862683753701,"protein tyrosine phosphatase activity///inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity///inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity///inositol-5-diphosphate-1,3,4,6-tetrakisphosphate diphosphatase activity///protein tyrosine phosphatase activity","GO:0004725///GO:0052845///GO:0052847///GO:0106211///GO:0004725","cellular_component","GO:0005575","actin filament organization///diphosphoinositol polyphosphate metabolic process///inositol phosphate dephosphorylation///protein dephosphorylation","GO:0007015///GO:0071543///GO:0046855///GO:0006470","SIW14","Contig20133:21357..22490",0.149796812453078,0.137213775031096
"57","orf19.10424",-0.65060054275,-1.04174288756302,-0.259458197936977,0.59635054275,-3.78373096504955,0.00461400278746122,0.35349317479552,-1.79112699769085,"molecular_function","GO:0003674","cell surface///cell surface","GO:0009986///GO:0009986","biological_process","GO:0008150",NA,"Contig20162:84458..85348",0.199562420822971,0.14293460584646
