ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSDARG00000001303	30666	psmb8a	proteasome 20S subunit beta 8A
ENSDARG00000001313	368848	g2e3	G2/M-phase specific E3 ubiquitin protein ligase
ENSDARG00000001354	561024	slc6a22.2	solute carrier family 6 member 22, tandem duplicate 2
ENSDARG00000001414	562393	mctp2a	multiple C2 domains, transmembrane 2a
ENSDARG00000001431	323320	actn3b	actinin alpha 3b
ENSDARG00000001437	555778	slc2a1a	solute carrier family 2 member 1a
ENSDARG00000001442	368433	inppl1b	inositol polyphosphate phosphatase-like 1b
ENSDARG00000001447	566167	mier1b	mesoderm induction early response 1b, transcriptional regulator
ENSDARG00000001452	368917	adam8a	ADAM metallopeptidase domain 8a
ENSDARG00000001463	556781	tdh2	L-threonine dehydrogenase 2
ENSDARG00000001470	565708	mhc1zea	major histocompatibility complex class I ZEA
ENSDARG00000001498	563784	skap1	src kinase associated phosphoprotein 1
ENSDARG00000001549	558652	sp3a	sp3a transcription factor
ENSDARG00000001557	323361	tomm34	translocase of outer mitochondrial membrane 34
ENSDARG00000001558	30453	kifc1	kinesin family member C1
ENSDARG00000001559	565460	csmd2	CUB and Sushi multiple domains 2
ENSDARG00000001572	559849	prf1.3	perforin 1.3
ENSDARG00000001578	368912	echs1	enoyl CoA hydratase, short chain, 1, mitochondrial
ENSDARG00000001621	573719	nfyal	nuclear transcription factor Y, alpha, like
ENSDARG00000001634	405804	kirrel1a	kirre like nephrin family adhesion molecule 1a
ENSDARG00000001656	64280	psmb13a	proteasome 20S subunit beta 13a
ENSDARG00000001676	503756	gpm6bb	glycoprotein M6Bb
ENSDARG00000001686	570547	uckl1a	uridine-cytidine kinase 1-like 1a
ENSDARG00000001710	561345	flot1a	flotillin 1a
ENSDARG00000001712	796753	si:ch211-247n2.1	si:ch211-247n2.1
ENSDARG00000001721	568941	oc90	otoconin 90
ENSDARG00000001729	563124	strn3	striatin, calmodulin binding protein 3
ENSDARG00000001733	368404	gulp1a	GULP PTB domain containing engulfment adaptor 1a
ENSDARG00000001734	393858	fkbp8	FKBP prolyl isomerase 8
ENSDARG00000001754	58013	noc2l	NOC2-like nucleolar associated transcriptional repressor
ENSDARG00000001760	100536295	tnxba	tenascin XBa
ENSDARG00000001767	503537	slc29a2	solute carrier family 29 member 2
ENSDARG00000001769	140818	ptpra	protein tyrosine phosphatase receptor type A
ENSDARG00000001771	553759	otol1a	otolin 1a
ENSDARG00000001776	563901	stim2b	stromal interaction molecule 2b
ENSDARG00000001777	393125	nup155	nucleoporin 155
ENSDARG00000001781	564029	tspan11	tetraspanin 11
ENSDARG00000001782	393998	prkacba	protein kinase, cAMP-dependent, catalytic, beta a
ENSDARG00000001785	394032	irx2a	iroquois homeobox 2a
ENSDARG00000001788	335191	atp5po	ATP synthase peripheral stalk subunit OSCP
ENSDARG00000001803	405763	kcnh6a	potassium voltage-gated channel, subfamily H (eag-related), member 6a
ENSDARG00000001804	550424	zgc:112148	zgc:112148
ENSDARG00000001807	564874	tnfrsf21	tumor necrosis factor receptor superfamily, member 21
ENSDARG00000001817	798602	zmp:0000000521	zmp:0000000521
ENSDARG00000001818	566347	c3b.2	complement component c3b, tandem duplicate 2
ENSDARG00000001825	568701	cfap43	cilia and flagella associated protein 43
ENSDARG00000001829	503771	zgc:112982	zgc:112982
ENSDARG00000001835	548345	nalcn	sodium leak channel, non-selective
ENSDARG00000001857	556421	aff4	AF4/FMR2 family, member 4
ENSDARG00000001859	30416	dbx1b	developing brain homeobox 1b
ENSDARG00000001870	64615	atp1a1a.4	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 4
ENSDARG00000001873	321928	phgdh	phosphoglycerate dehydrogenase
ENSDARG00000001879	557290	nav2b	neuron navigator 2b
ENSDARG00000001880	393515	stx3a	syntaxin 3A
ENSDARG00000001881	565158	cacnb3a	calcium channel, voltage-dependent, beta 3a
ENSDARG00000001882	559380	kbtbd12	kelch repeat and BTB (POZ) domain containing 12
ENSDARG00000001888	30672	ppm1ba	protein phosphatase, Mg2+/Mn2+ dependent, 1Ba
ENSDARG00000001889	573216	tuba1a	tubulin, alpha 1a
ENSDARG00000001890	323918	stt3b	STT3 oligosaccharyltransferase complex catalytic subunit B
ENSDARG00000001891	561547	syt14b	synaptotagmin XIVb
ENSDARG00000001897	541519	man2b1	mannosidase, alpha, class 2B, member 1
ENSDARG00000001898	447827	manea	mannosidase, endo-alpha
ENSDARG00000001906	559089	si:dkey-247m21.3	si:dkey-247m21.3
ENSDARG00000001909	555361	vill	villin-like
ENSDARG00000001910	554722	rorab	RAR-related orphan receptor A, paralog b
ENSDARG00000001912	503566	drd4-rs	dopamine receptor D4 related sequence
ENSDARG00000001913	559824	palmda	palmdelphin a
ENSDARG00000001929	494085	pink1	PTEN induced kinase 1
ENSDARG00000001930	445186	klhl15	kelch-like family member 15
ENSDARG00000001933	568316	prkag2b	protein kinase, AMP-activated, gamma 2 non-catalytic subunit b
ENSDARG00000001937	100334818	LOC100334818	solute carrier family 2, facilitated glucose transporter member 1-like
ENSDARG00000001939	192334	b3gat3	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)
ENSDARG00000001940	553324	dnajc1	DnaJ (Hsp40) homolog, subfamily C, member 1
ENSDARG00000001950	445486	ak1	adenylate kinase 1
ENSDARG00000001953	554477	pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
ENSDARG00000001968	571688	dock5	dedicator of cytokinesis 5
ENSDARG00000001969	324984	txlng	taxilin gamma
ENSDARG00000001971	566140	cthrc1b	collagen triple helix repeat containing 1b
ENSDARG00000001975	334098	hsd11b2	hydroxysteroid (11-beta) dehydrogenase 2
ENSDARG00000001976	497400	fkbp16	FKBP prolyl isomerase 16
ENSDARG00000001993	100002040	myhb	myosin, heavy chain b
ENSDARG00000001994	574003	stxbp1a	syntaxin binding protein 1a
ENSDARG00000001999	100150128	adamts18	ADAM metallopeptidase with thrombospondin type 1 motif, 18
ENSDARG00000002002	394045	lmcd1	LIM and cysteine-rich domains 1
ENSDARG00000002006	30486	rxrbb	retinoid x receptor, beta b
ENSDARG00000002013	446167	grb10a	growth factor receptor-bound protein 10a
ENSDARG00000002016	393966	ppil2	peptidylprolyl isomerase (cyclophilin)-like 2
ENSDARG00000002020	561835	rictorb	RPTOR independent companion of MTOR, complex 2b
ENSDARG00000002021	403051	pygb	phosphorylase, glycogen; brain
ENSDARG00000002026	100462714	qkib	QKI, KH domain containing, RNA binding b
ENSDARG00000002031	559853	tox4a	TOX high mobility group box family member 4 a
ENSDARG00000002037	564852	pfkfb2b	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2b
ENSDARG00000002060	445142	brf2	BRF2 RNA polymerase III transcription initiation factor subunit
ENSDARG00000002071	550502	adss2	adenylosuccinate synthase 2
ENSDARG00000002077	450080	mnat1	MNAT1 component of CDK activating kinase
ENSDARG00000002082	30502	csnk2a1	casein kinase 2, alpha 1 polypeptide
ENSDARG00000002084	337767	lamb2	laminin, beta 2 (laminin S)
ENSDARG00000002097	NA	NA	NA
ENSDARG00000002127	386967	stam	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1
ENSDARG00000002128	387304	cwf19l1	CWF19 like cell cycle control factor 1
ENSDARG00000002131	373117	celf2	cugbp, Elav-like family member 2
ENSDARG00000002165	30648	psme1	proteasome activator subunit 1
ENSDARG00000002167	436925	cacnb1	calcium channel, voltage-dependent, beta 1 subunit
ENSDARG00000002168	394172	tra2b	transformer 2 beta homolog
ENSDARG00000002172	561935	aplnra	apelin receptor a
ENSDARG00000002174	550607	itfg2	integrin alpha FG-GAP repeat containing 2
ENSDARG00000002184	406843	igbp1	immunoglobulin (CD79A) binding protein 1
ENSDARG00000002190	405840	chmp2bb	charged multivesicular body protein 2Bb
ENSDARG00000002192	65228	aspn	asporin (LRR class 1)
ENSDARG00000002193	30295	rho	rhodopsin
ENSDARG00000002194	554272	rhd	Rh blood group, D antigen
ENSDARG00000002196	553688	bach1b	BTB and CNC homology 1, basic leucine zipper transcription factor 1 b
ENSDARG00000002197	493916	pygl	phosphorylase, glycogen, liver
ENSDARG00000002204	796767	hspb11	heat shock protein, alpha-crystallin-related, b11
ENSDARG00000002210	449653	stk25a	serine/threonine kinase 25a
ENSDARG00000002213	245946	invs	inversin
ENSDARG00000002215	321129	rtca	RNA 3'-terminal phosphate cyclase
ENSDARG00000002216	556870	tbx3a	T-box transcription factor 3a
ENSDARG00000002217	791709	scocb	short coiled-coil protein b
ENSDARG00000002219	570552	si:dkey-103j14.5	si:dkey-103j14.5
ENSDARG00000002220	449772	zgc:103692	zgc:103692
ENSDARG00000002230	436774	sypb	synaptophysin b
ENSDARG00000002231	563806	plpp2a	phospholipid phosphatase 2a
ENSDARG00000002235	373882	mmp14a	matrix metallopeptidase 14a (membrane-inserted)
ENSDARG00000002240	30388	psmb6	proteasome 20S subunit beta 6
ENSDARG00000002241	100537815	LOC100537815	potassium voltage-gated channel subfamily A member 2
ENSDARG00000002249	792041	tbxas1	thromboxane A synthase 1 (platelet)
ENSDARG00000002255	445478	epb41l3a	erythrocyte membrane protein band 4.1-like 3a
ENSDARG00000002259	768190	ca15c	carbonic anhydrase XV c
ENSDARG00000002264	553805	mrpl41	mitochondrial ribosomal protein L41
ENSDARG00000002267	393097	dcaf13	ddb1 and cul4 associated factor 13
ENSDARG00000002271	393923	zfand5b	zinc finger, AN1-type domain 5b
ENSDARG00000002285	406689	mcoln1a	mucolipin 1a
ENSDARG00000002293	555440	si:ch211-197g15.9	si:ch211-197g15.9
ENSDARG00000002295	101883345	si:dkey-21p1.3	si:dkey-21p1.3
ENSDARG00000002298	393244	ankrd22	ankyrin repeat domain 22
ENSDARG00000002299	100332997	arsh	arylsulfatase H
ENSDARG00000002300	387297	p2rx2	purinergic receptor P2X, ligand-gated ion channel, 2
ENSDARG00000002304	554146	gins2	GINS complex subunit 2
ENSDARG00000002305	492719	me3	malic enzyme 3, NADP(+)-dependent, mitochondrial
ENSDARG00000002311	553579	fabp4b	fatty acid binding protein 4b
ENSDARG00000002330	378959	lhx8a	LIM homeobox 8a
ENSDARG00000002332	321937	frmd6	FERM domain containing 6
ENSDARG00000002333	557909	fam102bb	family with sequence similarity 102 member Bb
ENSDARG00000002336	30120	dlc	deltaC
ENSDARG00000002339	449813	sgf29	SAGA complex associated factor 29
ENSDARG00000002344	336681	tubb4b	tubulin, beta 4B class IVb
ENSDARG00000002347	80374	cyp11a1	cytochrome P450, family 11, subfamily A, polypeptide 1
ENSDARG00000002353	393842	tagapa	T cell activation RhoGTPase activating protein a
ENSDARG00000002355	100001676	shpk	sedoheptulokinase
ENSDARG00000002362	794012	ubald1a	UBA-like domain containing 1a
ENSDARG00000002365	323020	cers5	ceramide synthase 5
ENSDARG00000002369	NA	NA	NA
ENSDARG00000002377	767710	mief2	mitochondrial elongation factor 2
ENSDARG00000002385	403064	atm	ATM serine/threonine kinase
ENSDARG00000002391	450051	tlcd1	TLC domain containing 1
ENSDARG00000002394	100415794	ugt5d1	UDP glucuronosyltransferase 5 family, polypeptide D1
ENSDARG00000002396	402986	cry-dash	cryptochrome DASH
ENSDARG00000002401	678540	gale	UDP-galactose-4-epimerase
ENSDARG00000002402	324323	ercc3	excision repair cross-complementation group 3
ENSDARG00000002403	567446	nusap1	nucleolar and spindle associated protein 1
ENSDARG00000002405	561694	si:ch211-225b11.1	si:ch211-225b11.1
ENSDARG00000002406	393368	zmynd10	zinc finger, MYND-type containing 10
ENSDARG00000002411	571344	pde4cb	phosphodiesterase 4C, cAMP-specific b
ENSDARG00000002445	323473	prdm1a	PR domain containing 1a, with ZNF domain
ENSDARG00000002463	101883655	arhgef37	Rho guanine nucleotide exchange factor (GEF) 37
ENSDARG00000002467	334665	rdh14b	retinol dehydrogenase 14b
ENSDARG00000002479	100005291	ercc6l	excision repair cross-complementation group 6-like
ENSDARG00000002483	568110	LOC568110	protein Wnt-7a-like
ENSDARG00000002487	321289	noc3l	NOC3-like DNA replication regulator
ENSDARG00000002494	100499533	itgb6	integrin, beta 6
ENSDARG00000002506	436785	zgc:92818	zgc:92818
ENSDARG00000002507	572348	itga10	integrin, alpha 10
ENSDARG00000002508	569518	ankrd33ab	ankyrin repeat domain 33Ab
ENSDARG00000002509	768172	zgc:153911	zgc:153911
ENSDARG00000002510	550288	dmbx1b	diencephalon/mesencephalon homeobox 1b
ENSDARG00000002523	322347	hsdl2	hydroxysteroid dehydrogenase like 2
ENSDARG00000002533	560100	adora2b	adenosine A2b receptor
ENSDARG00000002536	393482	tm9sf4	transmembrane 9 superfamily protein member 4
ENSDARG00000002538	393168	smu1a	SMU1 DNA replication regulator and spliceosomal factor a
ENSDARG00000002546	393118	rundc3ab	RUN domain containing 3Ab
ENSDARG00000002549	561049	eif3eb	eukaryotic translation initiation factor 3, subunit E, b
ENSDARG00000002552	327321	mapkapk2a	MAPK activated protein kinase 2a
ENSDARG00000002564	450047	syngr1a	synaptogyrin 1a
ENSDARG00000002571	447869	tmod2	tropomodulin 2
ENSDARG00000002576	393671	cabp5a	calcium binding protein 5a
ENSDARG00000002582	246222	tbx15	T-box transcription factor 15
ENSDARG00000002587	553166	dpysl3	dihydropyrimidinase like 3
ENSDARG00000002589	447930	mylpfb	myosin light chain, phosphorylatable, fast skeletal muscle b
ENSDARG00000002591	317679	ruvbl1	RuvB-like AAA ATPase 1
ENSDARG00000002593	558311	slc45a2	solute carrier family 45 member 2
ENSDARG00000002597	327625	pabpc1l	poly(A) binding protein, cytoplasmic 1-like
ENSDARG00000002600	100005716	pcsk1	proprotein convertase subtilisin/kexin type 1
ENSDARG00000002601	140746	irx7	iroquois homeobox 7
ENSDARG00000002607	561879	unm_sa1614	un-named sa1614
ENSDARG00000002609	565986	rnf145a	ring finger protein 145a
ENSDARG00000002613	393196	rpa3	replication protein A3
ENSDARG00000002632	353365	anxa11b	annexin A11b
ENSDARG00000002634	NA	NA	NA
ENSDARG00000002635	407982	zgc:85722	zgc:85722
ENSDARG00000002642	378838	sh3gl1b	SH3-domain GRB2-like 1b
ENSDARG00000002644	573765	rgs5a	regulator of G protein signaling 5a
ENSDARG00000002656	556789	stxbp5a	syntaxin binding protein 5a (tomosyn)
ENSDARG00000002659	334728	mapre1b	microtubule-associated protein, RP/EB family, member 1b
ENSDARG00000002663	336159	optn	optineurin
ENSDARG00000002666	556608	kcnj1b	potassium inwardly rectifying channel subfamily J member 1b
ENSDARG00000002670	407686	zgc:113944	zgc:113944
ENSDARG00000002682	393726	tbcela	tubulin folding cofactor E-like a
ENSDARG00000002685	494057	fam113	family with sequence similarity 113
ENSDARG00000002690	436784	rabif	RAB interacting factor
ENSDARG00000002696	406483	gnb3b	guanine nucleotide binding protein (G protein), beta polypeptide 3b
ENSDARG00000002701	393366	rasl12	RAS-like, family 12
ENSDARG00000002707	445409	her11	hairy-related 11
ENSDARG00000002710	767714	ncl	nucleolin
ENSDARG00000002720	325106	utp15	UTP15 small subunit processome component
ENSDARG00000002722	101886079	ankrd2	ankyrin repeat domain 2 (stretch responsive muscle)
ENSDARG00000002728	561898	kiss1ra	KISS1 receptor a
ENSDARG00000002731	282667	sdc2	syndecan 2
ENSDARG00000002732	30202	spon2b	spondin 2b, extracellular matrix protein
ENSDARG00000002745	406528	tdh	L-threonine dehydrogenase
ENSDARG00000002748	406272	sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
ENSDARG00000002750	563332	phf20a	PHD finger protein 20, a
ENSDARG00000002754	393192	pdcd2l	programmed cell death 2-like
ENSDARG00000002758	58125	dedd1	death effector domain-containing 1
ENSDARG00000002760	100334210	gdf5	growth differentiation factor 5
ENSDARG00000002764	571850	miox	myo-inositol oxygenase
ENSDARG00000002768	58028	pvalb2	parvalbumin 2
ENSDARG00000002771	559268	slc4a5a	solute carrier family 4 member 5a
ENSDARG00000002779	30721	pdx1	pancreatic and duodenal homeobox 1
ENSDARG00000002787	30206	tle3a	TLE family member 3, transcriptional corepressor a
ENSDARG00000002790	321051	ap2m1a	adaptor related protein complex 2 subunit mu 1a
ENSDARG00000002791	64612	atp1a1a.1	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 1
ENSDARG00000002792	266982	arcn1a	archain 1a
ENSDARG00000002795	81885	meis3	myeloid ecotropic viral integration site 3
ENSDARG00000002797	NA	NA	NA
ENSDARG00000002798	541379	cog8	component of oligomeric golgi complex 8
ENSDARG00000002816	553520	rasgrf2b	Ras protein-specific guanine nucleotide-releasing factor 2b
ENSDARG00000002826	445312	cep57l1	centrosomal protein 57, like 1
ENSDARG00000002830	334936	trmt2a	tRNA methyltransferase 2 homolog A
ENSDARG00000002831	554270	col4a4	collagen, type IV, alpha 4
ENSDARG00000002840	562640	si:dkey-28b4.8	si:dkey-28b4.8
ENSDARG00000002847	557836	fndc1	fibronectin type III domain containing 1
ENSDARG00000002872	541387	zgc:113210	zgc:113210
ENSDARG00000002877	564535	reps1	RALBP1 associated Eps domain containing 1
ENSDARG00000002880	100034394	vps50	VPS50 EARP/GARPII complex subunit
ENSDARG00000002894	692323	aven	apoptosis, caspase activation inhibitor
ENSDARG00000002897	555899	si:ch211-160o17.2	si:ch211-160o17.2
ENSDARG00000002909	373089	tjp3	tight junction protein 3
ENSDARG00000002912	436740	adipor1a	adiponectin receptor 1a
ENSDARG00000002916	100148383	sec31b	SEC31 homolog B, COPII coat complex component
ENSDARG00000002917	556445	gls2b	glutaminase 2b (liver, mitochondrial)
ENSDARG00000002933	245948	gbx2	gastrulation brain homeobox 2
ENSDARG00000002937	170455	meis1a	Meis homeobox 1 a
ENSDARG00000002945	792197	bgnb	biglycan b
ENSDARG00000002947	100170781	abcd3b	ATP-binding cassette, sub-family D (ALD), member 3b
ENSDARG00000002949	393980	ppp6c	protein phosphatase 6, catalytic subunit
ENSDARG00000002952	30225	smo	smoothened, frizzled class receptor
ENSDARG00000002956	101882585	si:dkey-32n7.4	si:dkey-32n7.4
ENSDARG00000002959	791765	gpr34b	G protein-coupled receptor 34b
ENSDARG00000002967	393179	pdap1b	pdgfa associated protein 1b
ENSDARG00000002968	562916	a1cf	apobec1 complementation factor
ENSDARG00000002970	326668	ss18	SS18 subunit of BAF chromatin remodeling complex
ENSDARG00000002971	403008	phc1	polyhomeotic homolog 1
ENSDARG00000002986	553701	gda	guanine deaminase
ENSDARG00000002988	574000	tnnt2d	troponin T2d, cardiac
ENSDARG00000002991	553303	cep135	centrosomal protein 135
ENSDARG00000002994	562919	itpkca	inositol-trisphosphate 3-kinase Ca
ENSDARG00000003008	100005075	prkcea	protein kinase C, epsilon a
ENSDARG00000003017	325470	ube2al	ubiquitin conjugating enzyme E2 A, like
ENSDARG00000003020	566572	lrrc4.2	leucine rich repeat containing 4.2
ENSDARG00000003021	406740	hdac8	histone deacetylase 8
ENSDARG00000003022	101883214	limk1b	LIM domain kinase 1b
ENSDARG00000003027	321696	scnm1	sodium channel modifier 1
ENSDARG00000003032	399484	eif4a1b	eukaryotic translation initiation factor 4A1B
ENSDARG00000003035	373085	hspa9	heat shock protein 9
ENSDARG00000003041	100334245	LOC100334245	E3 ubiquitin-protein ligase pellino homolog 2-like
ENSDARG00000003046	571008	sorbs2a	sorbin and SH3 domain containing 2a
ENSDARG00000003054	559201	tacr3l	tachykinin receptor 3-like
ENSDARG00000003058	415215	cep43	centrosomal protein 43
ENSDARG00000003061	791140	cd276	CD276 molecule
ENSDARG00000003068	492770	gorasp1a	golgi reassembly stacking protein 1a
ENSDARG00000003069	568372	btbd7	BTB (POZ) domain containing 7
ENSDARG00000003077	794084	gpx9	glutathione peroxidase 9
ENSDARG00000003081	321053	mybphb	myosin binding protein Hb
ENSDARG00000003084	492470	spire2	spire-type actin nucleation factor 2
ENSDARG00000003085	570542	stambpl1	STAM binding protein-like 1
ENSDARG00000003087	554960	ubxn6	UBX domain protein 6
ENSDARG00000003090	58121	or103-4	odorant receptor, family C, subfamily 103, member 4
ENSDARG00000003091	494075	oclnb	occludin b
ENSDARG00000003098	415256	kdm5bb	lysine (K)-specific demethylase 5Bb
ENSDARG00000003109	445222	rcan1a	regulator of calcineurin 1a
ENSDARG00000003113	436919	ada	adenosine deaminase
ENSDARG00000003127	664766	zgc:123105	zgc:123105
ENSDARG00000003132	447941	apip	APAF1 interacting protein
ENSDARG00000003142	692255	dachc	dachshund c
ENSDARG00000003144	447868	pxmp2	peroxisomal membrane protein 2
ENSDARG00000003146	567924	LOC567924	novel protein similar to vertebrate neurofilament, medium polypeptide (NEFM)
ENSDARG00000003151	393716	skp1	S-phase kinase-associated protein 1
ENSDARG00000003153	394092	nudt21	nudix hydrolase 21
ENSDARG00000003157	101887110	nfkbil1	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1
ENSDARG00000003165	406522	nr2f6b	nuclear receptor subfamily 2, group F, member 6b
ENSDARG00000003167	792689	mlst8	MTOR associated protein, LST8 homolog (S. cerevisiae)
ENSDARG00000003169	474349	magi1b	membrane associated guanylate kinase, WW and PDZ domain containing 1b
ENSDARG00000003175	323105	stx5al	syntaxin 5A, like
ENSDARG00000003181	402915	sult1st4	sulfotransferase family 1, cytosolic sulfotransferase 4
ENSDARG00000003189	554967	psmd1	proteasome 26S subunit, non-ATPase 1
ENSDARG00000003193	368288	rassf7b	Ras association domain family member 7b
ENSDARG00000003197	110437968	LOC110437968	DDB1- and CUL4-associated factor 4-like
ENSDARG00000003200	394072	foxm1	forkhead box M1
ENSDARG00000003203	100038797	rhcga	Rh family, C glycoprotein a
ENSDARG00000003205	553627	ngly1	N-glycanase 1
ENSDARG00000003206	449542	chchd6a	coiled-coil-helix-coiled-coil-helix domain containing 6a
ENSDARG00000003207	436888	mterf3	mitochondrial transcription termination factor 3
ENSDARG00000003208	492773	pomk	protein O-mannose kinase
ENSDARG00000003210	NA	NA	NA
ENSDARG00000003213	323672	naa15a	N-alpha-acetyltransferase 15, NatA auxiliary subunit a
ENSDARG00000003216	325557	anxa2a	annexin A2a
ENSDARG00000003217	570267	urb2	URB2 ribosome biogenesis homolog
